Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\src\error\Rick.SQL.Error.Normalizer.pas,TRickSQLErrorNormalizer.FireDACDetail,62,6,1,1,3,0,292
C:\Projects\Language\Delphi\Middleware\RickSQL\src\error\Rick.SQL.Error.Normalizer.pas,TRickSQLErrorNormalizer.ExtractDBMSCode,76,6,1,1,3,0,292
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.IsStructuredLabelColon,413,6,1,0,4,0,283
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ResolveExplicit,676,5,2,1,2,0,279
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.AlternativeQuoteOpeningOffset,640,5,1,1,3,0,279
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.FindDollarQuoteEnd,686,5,1,1,3,0,279
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,ValidateDirection,1122,5,2,1,2,0,279
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,ValidateDataType,1133,5,2,1,2,0,279
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,ApplyValue,186,5,2,1,2,0,279
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.MySQL.pas,TRickSQLServiceFireDACDriverMySQL.ApplyConnectionOptions,52,5,2,1,2,0,279
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.PostgreSQL.pas,TRickSQLServiceFireDACDriverPostgreSQL.ApplyConnectionOptions,52,5,2,1,2,0,279
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.SQLite.pas,TRickSQLServiceFireDACDriverSQLite.ApplyConnectionOptions,49,5,2,1,2,0,279
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.FindSystemFile,419,8,1,1,2,0,275
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.SetVendorLibrary,890,4,2,1,2,0,267
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.ExecuteSQL,237,8,3,0,1,0,267
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.ValidateEngine,107,4,2,1,2,0,267
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.PrepareWritableFields,203,4,1,1,3,0,267
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.CharacterAt,224,4,2,1,2,0,267
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.StartsKeyword,282,4,2,1,2,0,267
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Connection.pas,TRickSQLServiceFireDACConnection.Open,106,4,2,1,2,0,267
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Connection.pas,TRickSQLServiceFireDACConnection.Close,139,4,1,1,3,0,267
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Query.pas,TRickSQLServiceFireDACQuery.Prepare,103,4,2,1,2,0,267
C:\Projects\Language\Delphi\Middleware\RickSQL\src\error\Rick.SQL.Error.Normalizer.pas,TRickSQLErrorNormalizer.MaskSensitiveValue,132,8,2,0,2,0,267
